"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","129/3444","258/18805",0.5,2.73011033681765,13.2493253873083,3.26695755803929e-31,2.02126664115891e-27,1.63313488875038e-27,"22987/57586/9783/9899/93664/6855/57030/5874/6804/6857/5028/534/273/9892/6456/6620/1759/6623/10814/22883/6616/9378/3208/57084/6622/2060/528/134957/5575/8448/29993/8851/22895/440279/1173/8618/523/63908/9829/26059/9381/526/9900/5217/5865/8927/6860/84446/9066/6812/85439/284697/22848/8871/537/9498/51760/8499/9751/808/6853/6854/8775/10396/23154/9114/84062/112476/9815/9143/8541/5864/11069/5532/805/529/535/1211/4983/57465/79953/10947/1948/26052/9805/594855/55737/51382/1000/1175/23025/785/9550/55061/8120/6093/23345/10497/801/1499/5867/203228/8867/1212/23208/8224/163/3351/23396/112755/2332/84251/160/5413/140679/28964/6844/127833/200933/55182/10159/80331/868/5728/1902/60/1487/9135/23237",129
"GO:0099504","GO:0099504","synaptic vesicle cycle","111/3444","222/18805",0.5,2.73011033681765,12.2783305987908,4.98629931703695e-27,1.54251169372538e-23,1.24631239245308e-23,"22987/57586/9783/9899/93664/6855/57030/5874/6804/6857/5028/534/273/9892/6456/6620/1759/6623/10814/6616/9378/57084/6622/528/134957/5575/8448/29993/8851/22895/440279/1173/8618/523/63908/9829/26059/9381/526/9900/5217/5865/8927/6860/84446/9066/6812/85439/284697/8871/537/9498/8499/9751/6853/6854/8775/10396/9114/84062/112476/9815/9143/8541/5864/11069/5532/529/535/1211/4983/57465/79953/10947/26052/9805/594855/51382/1000/1175/23025/785/9550/8120/6093/10497/1499/203228/8867/1212/23208/8224/163/3351/23396/112755/2332/84251/160/5413/140679/28964/6844/127833/200933/10159/80331/5728/1902/60/1487",111
"GO:0007409","GO:0007409","axonogenesis","178/3444","459/18805",0.387799564270152,2.11747119805465,11.476750347996,1.85648235199654e-25,3.82868543726753e-22,3.09348585601107e-22,"3925/10439/4747/885/2044/4884/8543/2043/64919/10716/1813/7224/107/4897/56288/6616/4753/3798/5058/9378/348/84189/1272/10381/115557/56978/3984/8997/2045/4131/114798/4744/144165/1123/8851/2596/53942/9201/8482/9252/5802/4137/10211/1009/627/56896/10678/23768/322/2664/90249/10752/23767/5818/27255/65059/6585/84446/6812/139065/8506/214/1630/5306/152330/2042/7474/7070/22854/59277/6324/1946/6091/5881/5803/56134/65078/1141/55605/10154/2909/5864/2335/1496/26230/4781/4130/1982/5532/10371/51761/7504/3800/26037/4983/1600/5063/26053/2803/4929/1948/3676/85440/137970/653269/3913/91137/79600/23499/64283/57463/351/23122/5979/9331/22911/658/10512/57142/7345/151449/5605/91584/22902/84628/203228/3670/51199/2258/11280/8153/5797/26999/2064/4089/1954/2051/23303/5048/55079/10890/22906/9334/23011/7204/51062/7143/90990/170302/3897/9211/6586/200933/23129/140578/23242/9369/5364/4915/682/6285/27020/334/51393/91624/5728/81565/11041/285220/3730/23334/60/133418/23032/7074/85449/4133/6792",178
"GO:0042391","GO:0042391","regulation of membrane potential","177/3444","463/18805",0.382289416846652,2.08738457717808,11.2175307304574,1.73036408812077e-24,2.67644065330081e-21,2.16249975118041e-21,"4208/3747/3760/27133/9783/2554/135/1812/54112/6804/5999/2893/2903/7533/1813/3739/10962/7224/817/88/2561/4897/30845/4233/27012/9378/116443/2257/6622/478/23316/6323/55800/5774/8001/5575/664/90134/9722/7871/3787/57528/3745/30819/8671/50944/348980/3759/9177/3737/4137/3775/6335/481/64208/3765/3788/2895/51305/8913/1080/2556/66000/8506/5318/6328/6334/3742/2558/9498/2899/4734/808/9312/2897/6543/5530/2911/6324/10550/1258/2566/23416/1141/6262/4842/1756/784/3777/388135/9472/10242/8912/1139/3756/2729/23542/3785/3776/27345/23171/1832/57465/665/23530/2767/2563/6330/3741/2745/3749/3790/6508/3748/785/124925/65018/29119/351/3746/401190/131096/642938/55186/6332/23345/10497/801/4355/6326/2316/23327/2258/56853/11280/3736/3778/9948/476/2537/112755/2332/4718/6647/23415/3738/287/11334/23620/3755/10369/2743/2030/11149/1137/3988/1739/213/153/4915/134/10142/598/57369/1135/5728/3781/8911/7341/3752/2185/2560/2557/27166/6869/83875/79784",177
"GO:0010975","GO:0010975","regulation of neuron projection development","172/3444","448/18805",0.383928571428571,2.09633472291356,11.1206012947688,4.56907749779744e-24,5.65377649577456e-21,4.56811558674528e-21,"1996/8507/4747/11075/5274/2043/5176/7533/10716/7224/4897/6616/5058/257194/23072/348/818/1272/23316/6383/22891/3984/2045/4131/114798/8837/1123/29993/8851/7025/8482/5802/4137/627/56896/120114/2895/322/9693/7804/2664/6585/57554/84446/9896/6695/5911/1630/547/146760/2042/8499/7474/7070/4734/22854/80725/5530/6324/1946/26012/6091/65009/5997/84062/65078/1141/23413/55605/10154/23043/1756/2909/2335/1496/26230/1982/1072/10371/51761/7504/952/85442/26037/27067/1600/5063/57465/2803/57520/5789/1948/10690/114788/3706/26052/8724/8850/23499/10611/23251/6376/57463/124925/285016/9760/11141/5979/5526/26259/23345/57142/5605/22902/84628/57118/2316/54664/23327/51199/2258/8153/51517/23189/112755/1954/23303/1398/5048/55079/100528062/22906/23011/64175/160/7143/349667/8634/3897/27/2670/9912/23129/140578/23242/950/1608/5364/4915/4139/65981/1399/79625/23271/84079/2288/163404/27020/51393/5728/112/81565/23363/1902/2185/7436/7074/4133/23237/8428/6792/8321",172
"GO:0007416","GO:0007416","synapse assembly","121/3444","273/18805",0.443223443223443,2.42009780772847,11.1914248506849,1.95898133786884e-23,2.02003625623242e-20,1.63214076728757e-20,"4208/147381/389941/2554/64084/1812/4884/1813/5361/2561/4897/22883/6616/9378/257194/158038/6622/84189/23316/2045/4131/114798/144165/145581/2596/3360/53942/9201/25945/2823/5802/4137/627/23768/2895/57633/23767/8927/5818/2556/404037/6585/9379/139065/8825/3556/5911/2558/64101/7474/1793/1946/5881/2566/65078/55203/1141/9746/10718/10154/387804/55619/27067/79953/5789/1948/26052/55737/91137/10611/1000/9732/57463/9148/6712/57524/1108/6386/351/5783/11141/54549/92737/57142/1499/91584/84628/57468/23096/140689/2258/4593/26999/51517/1398/100528062/9215/43/221935/51248/114784/9113/1981/200933/23129/5364/4915/4139/1399/9806/28988/27020/392617/5728/4738/2185/347730/7436/55327/2557/8321",121
"GO:0050803","GO:0050803","regulation of synapse structure or activity","131/3444","321/18805",0.40809968847352,2.22831435590724,10.5102007667738,2.56890312187833e-21,2.27054337358017e-18,1.83454450012033e-18,"4208/147381/389941/4747/57030/64084/2043/1813/4897/22883/6616/9378/257194/57084/348/158038/6622/84189/23316/2045/4131/114798/144165/145581/10486/8851/11122/3360/9201/203068/8482/9252/25945/2823/5802/4761/627/23768/2895/57633/7804/23767/5818/83992/6585/9379/139065/8506/8825/3556/5911/57497/547/8499/7474/4734/79012/1793/80725/1946/5881/57026/84062/65078/5621/1141/9746/10154/1496/1072/387804/998/26037/55619/27067/1600/5063/79953/388/1639/85461/5789/3706/26052/55737/8404/55799/10611/1000/9732/9758/57463/9148/57524/116987/1108/351/5783/11141/55638/6093/57142/1499/84628/57468/23096/23327/4593/26999/51517/5538/5048/57512/100528062/51248/50807/9113/1981/9912/4915/4139/65981/4738/2185/347730/7436/55327/7074/23237/6792/8321",131
"GO:0050807","GO:0050807","regulation of synapse organization","127/3444","315/18805",0.403174603174603,2.20142230333868,10.1819148170517,3.60177526777293e-20,2.78552294771389e-17,2.25063562455969e-17,"4208/147381/389941/4747/64084/2043/1813/4897/22883/6616/9378/257194/348/158038/6622/84189/23316/2045/4131/114798/144165/145581/10486/8851/11122/3360/9201/203068/8482/9252/25945/2823/5802/4761/627/23768/2895/57633/7804/23767/5818/83992/6585/9379/139065/8506/8825/3556/5911/57497/547/8499/7474/4734/79012/1793/80725/1946/5881/57026/84062/65078/5621/1141/9746/10154/1496/1072/387804/998/26037/55619/27067/1600/5063/79953/388/1639/85461/5789/3706/26052/55737/8404/55799/10611/1000/9732/9758/57463/9148/57524/116987/1108/351/5783/11141/6093/57142/1499/84628/57468/23096/23327/4593/26999/51517/5048/57512/100528062/51248/50807/9113/1981/9912/4915/4139/65981/4738/2185/347730/7436/55327/7074/23237/6792/8321",127
"GO:0048167","GO:0048167","regulation of synaptic plasticity","100/3444","223/18805",0.448430493273543,2.44852945006068,10.3033981164102,4.79921129400887e-20,3.29919114178143e-17,2.66566718540914e-17,"4208/5179/5924/135/6855/1812/815/793/2903/2043/5923/7533/1813/817/107/10814/6616/9145/348/116443/79772/6622/818/4311/9495/5575/4131/7532/10636/440279/3745/4137/4761/468/2895/81539/9693/57282/6860/84446/9066/2912/6812/22849/152330/6543/114/10858/26012/1636/23154/57616/5621/112476/11170/5743/51247/8541/22986/5864/3269/3156/4130/5270/5532/1139/952/26037/794/57338/27067/5594/57406/3706/1392/6376/3845/9148/351/4355/23096/2332/94056/9513/9215/7143/2670/6844/8878/375/4915/134/6285/27020/10769/2185/347730/25769/729993/23237",100
"GO:0007269","GO:0007269","neurotransmitter secretion","75/3444","148/18805",0.506756756756757,2.76700371974762,10.2186697506877,3.8551069510775e-19,2.058871061671e-16,1.66351835714538e-16,"4208/22987/57586/9783/9899/93664/135/6855/815/6804/6857/5028/6623/10814/6616/9378/79772/6622/134957/9627/8448/22895/440279/8618/63908/26059/9381/9900/286097/5217/6860/84446/9066/9379/6812/8825/9498/8499/9751/6853/6854/8775/8938/84062/112476/9143/8541/5864/90342/27345/594855/55784/23025/785/10497/8867/23208/8224/3351/23396/2914/112755/2332/5538/57512/54407/5413/51248/140679/28964/6844/127833/200933/80331/55327",75
