"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001508","GO:0001508","action potential","8/79","177/18805",0.0451977401129944,10.7587785167704,8.47256944865041,7.76390762790582e-07,0.00114983471969285,0.0010166632725384,"54112/1812/3739/27012/3787/3760/2697/3759",8
"GO:0042391","GO:0042391","regulation of membrane potential","11/79","463/18805",0.0237580993520518,5.65532985209285,6.58769928893115,3.58120637322278e-06,0.00265188331937147,0.00234474775173113,"54112/1812/116443/10962/3739/27012/7224/3787/3760/2697/3759",11
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","8/79","272/18805",0.0294117647058824,7.00111690245719,6.47529909708785,1.85603933817304e-05,0.00916264753278089,0.00810144890065705,"9568/83550/2830/54112/1812/5028/2849/9495",8
"GO:0021766","GO:0021766","hippocampus development","5/79","94/18805",0.0531914893617021,12.6615943980609,7.36189327047225,4.71785061469494e-05,0.017467841900908,0.0154447530649487,"4747/63974/1812/8851/4142",5
"GO:0006813","GO:0006813","potassium ion transport","7/79","245/18805",0.0285714285714286,6.80108499095841,5.93634922668015,7.6345436431267e-05,0.0226135182709413,0.0199944679832623,"1812/3739/27012/57084/3787/3760/3759",7
"GO:0021543","GO:0021543","pallium development","6/79","194/18805",0.0309278350515464,7.36199921701683,5.78529859657733,0.00016598531893146,0.0337223770815086,0.0298167220508168,"4747/63974/7280/1812/8851/4142",6
"GO:0045664","GO:0045664","regulation of neuron differentiation","6/79","195/18805",0.0307692307692308,7.32424537487829,5.7659249904772,0.000170687743904286,0.0337223770815086,0.0298167220508168,"7532/7224/4674/8851/57795/4761",6
"GO:0021761","GO:0021761","limbic system development","5/79","125/18805",0.04,9.52151898734177,6.20868668178945,0.000182160038252579,0.0337223770815086,0.0298167220508168,"4747/63974/1812/8851/4142",5
"GO:0051260","GO:0051260","protein homooligomerization","6/79","210/18805",0.0285714285714286,6.80108499095841,5.4908166470544,0.000254767887660447,0.0387069546309277,0.0342239962762529,"10409/386618/3739/27012/3787/3759",6
"GO:0006836","GO:0006836","neurotransmitter transport","6/79","211/18805",0.028436018957346,6.76885236066951,5.4734404340303,0.000261356884746305,0.0387069546309277,0.0342239962762529,"57586/1812/5028/388662/57084/6534",6
"GO:0071805","GO:0071805","potassium ion transmembrane transport","6/79","216/18805",0.0277777777777778,6.61216596343179,5.38822254600001,0.00029634186404639,0.0398983909684276,0.0352774429544219,"3739/27012/57084/3787/3760/3759",6
"GO:0048167","GO:0048167","regulation of synaptic plasticity","6/79","223/18805",0.0269058295964126,6.40460918431061,5.27335071514174,0.000351390830945152,0.0405025751048598,0.0358116517505566,"7532/1812/116443/793/9495/4761",6
"GO:0071875","GO:0071875","adrenergic receptor signaling pathway","3/79","33/18805",0.0909090909090909,21.6398158803222,7.70767995758598,0.000355525642378918,0.0405025751048598,0.0358116517505566,"83550/54112/1812",3
"GO:0045761","GO:0045761","regulation of adenylate cyclase activity","3/79","35/18805",0.0857142857142857,20.4032549728752,7.46264244477012,0.000423918264116168,0.0448444963682889,0.0396507007940235,"9568/1812/9495",3
"GO:0045666","GO:0045666","positive regulation of neuron differentiation","4/79","96/18805",0.0416666666666667,9.91824894514768,5.68991891598687,0.000714976507704562,0.0647605612843384,0.0572601288160325,"7224/4674/57795/4761",4
