"","logFC","logCPM","F","PValue","FDR","significant"
"ENSG00000081189",3.71127364405843,9.29035933876814,731.6066107856,3.56715534133636e-15,6.48865556589085e-11,TRUE
"ENSG00000124785",4.91674386655333,6.75609568401522,562.517658234289,3.12210114383149e-14,1.57131020025812e-10,TRUE
"ENSG00000183379",-7.97545302799495,6.81202982218052,396.412848219386,3.48793803216782e-14,1.57131020025812e-10,TRUE
"ENSG00000162374",4.9993010770366,6.78713329242655,541.9980909311,4.22806132467016e-14,1.57131020025812e-10,TRUE
"ENSG00000104490",4.11344095906147,7.63898359513368,537.956523712513,4.31915942896678e-14,1.57131020025812e-10,TRUE
"ENSG00000141668",6.48224716256307,6.01592156321476,437.231010329147,8.63686113993827e-14,2.45856666884644e-10,TRUE
"ENSG00000189127",-6.41652458923714,5.30327535158013,355.345329944107,9.46122412420289e-14,2.45856666884644e-10,TRUE
"ENSG00000122012",-3.60331695880899,8.14379909246244,450.90126902044,1.78626905745979e-13,3.22295761969696e-10,TRUE
"ENSG00000166006",5.46604980517553,6.71063624074923,454.267987494808,1.82321261559116e-13,3.22295761969696e-10,TRUE
"ENSG00000019505",3.60438397327098,7.20580054094351,449.389273408758,1.83760896990002e-13,3.22295761969696e-10,TRUE
"ENSG00000162989",4.87043018344694,6.13417237287771,450.522024965219,1.94901230437969e-13,3.22295761969696e-10,TRUE
"ENSG00000165370",-8.7367507609468,6.28337373727472,334.396581894498,2.28005161022901e-13,3.24124850929233e-10,TRUE
"ENSG00000136928",3.89873988596047,7.40882186304023,436.611825479598,2.31645028151733e-13,3.24124850929233e-10,TRUE
"ENSG00000074590",3.04316600122481,7.48294327461827,407.180538366106,4.04524171068048e-13,5.09933236356134e-10,TRUE
"ENSG00000135426",6.46972686996424,6.03255175310791,364.192369629948,4.20505692432216e-13,5.09933236356134e-10,TRUE
"ENSG00000181195",-6.44366439158246,8.17076489112615,391.057843135953,5.84458596512877e-13,6.64456366910577e-10,TRUE
"ENSG00000117632",2.95749092041853,8.6403579056445,384.684468447724,6.36714852477767e-13,6.81284892151211e-10,TRUE
"ENSG00000100473",-4.94727083986839,7.38199643216401,380.441238399347,7.04675969476537e-13,7.12114215821012e-10,TRUE
"ENSG00000164830",2.85702298196705,8.6125768077681,371.540096956272,8.40202289147734e-13,8.04383138926173e-10,TRUE
"ENSG00000140015",4.86518544443744,6.70688296964286,369.619133803607,9.04303149906132e-13,8.22463714839627e-10,TRUE
"ENSG00000102780",-2.53518975739728,8.84673042168611,361.893941648314,1.0360253092678e-12,8.81170361403344e-10,TRUE
"ENSG00000130558",3.71413243948647,8.38969688371561,360.627895084314,1.06573655584791e-12,8.81170361403344e-10,TRUE
"ENSG00000198673",4.56302396128424,6.12867196775043,352.646056098842,1.34223117977351e-12,1.06152978956871e-09,TRUE
"ENSG00000164600",7.93667609939557,5.50913334042954,262.500529496113,1.50559519788883e-12,1.14111569373324e-09,TRUE
"ENSG00000113319",2.93455857767241,7.82711140215711,341.080164584596,1.65990660047846e-12,1.17239007794364e-09,TRUE
