SRR5961980_T1	SRR5961981_T1	SRR5961982_T1	SRR5962008_T1	SRR5962009_T1	SRR5962010_T1
ENSG00000000003	12.00004344	13.00002469	12.211373	14.29628	19.875	24.99997
ENSG00000000005	0	0	3	0	0	0
ENSG00000000419	61.970687	26.08636	36.67829	44.16624	40.114768	51.800244
ENSG00000000457	32.417755054162	21.8329422781	19.53688	31.0122	18.74185	32.33391
ENSG00000000460	10.5822	1.528441	13.534960652825	9.14957	14.56556	5.194949
ENSG00000000938	2.999998	1	1.999995	1.999998	0	0
ENSG00000000971	35.8917787282	20.39798179	9.7013387055481	34.47966	11.7353603416471	39.8161
ENSG00000001036	15.18907	8	11	10.78647	14	9
ENSG00000001084	92.021	39	59.011035	100.03704	104.69932	141.006180081537
ENSG00000001167	71	38	54.8292	80.96166	57.99996	80.00004
ENSG00000001460	16.01462	17.005187	14.02513	13.73007	10.196846	12.01099
ENSG00000001461	242.9852	134	178.97511	207.00038	133.05971	222.9929
ENSG00000001497	40.99997	22.999987721992	23.45346	36.99997060988	43.0000332555026	50.0000074590735
ENSG00000001561	221	84	122	87	70	102
ENSG00000001617	3	0	4	1	1	3
ENSG00000001626	5.9999963822803	2	2	21	18.9999989	29.999999
ENSG00000001629	345.99979	172.00039	185.00036	260.00023	227.99997	314.00042
ENSG00000001630	383.2273	117.8853	146.5456	124.12463006912	110.74638	136.083
ENSG00000001631	143.78872961	61.21428246207	104.500050026589	94.365654618807	92.91032	134.67373365
ENSG00000002016	10.0309749	6.999996765	5	20.196811857674	18.0000000157557	30.3013
ENSG00000002330	9	5	7	6	2	3
ENSG00000002549	78.00006	48.00002	30.00001	49.99998291	49.94211	52.00004
ENSG00000002586	6.000005	5	6.999999	12.000008	22.99997	9
ENSG00000002587	7.0510980625385	3.00721	11	0	2.01334	3.01338
ENSG00000002726	0	0	0	0	0	0
ENSG00000002745	4	5.000002	8	0	0	0
ENSG00000002746	253.89475	131.1661	215.26423	50.01541	56.02743	48.1360663555
ENSG00000002822	38.00004	16.00001	17.9999983	21.99996	13.999999	33.99999
ENSG00000002834	97.40940733892	93.26867	87.035995	50.42543	43.99999	41.10783
ENSG00000002919	19.060390221518	6	13.000005	5.000002072	16.32652448	12.00001
ENSG00000002933	1	1	2	3	2	1
ENSG00000003056	157.14839	77.66335	68.1186	74.98204532	61.59432	90.307026
ENSG00000003096	30	15	14	142.99995	123.00005	167.9999
ENSG00000003137	32	14.99997	37.00004	2	3	6
