SRR5961980_T1	SRR5961981_T1	SRR5961982_T1	SRR5962008_T1	SRR5962009_T1	SRR5962010_T1
ENSG00000000003	3.39292555	6.62419887	6.48289	7.31169	8.59808	16.63176
ENSG00000000005	0	0	4.6071	0	0	0
ENSG00000000419	62.897628	38.812907	55.561882	52.14437	57.09607	56.032644
ENSG00000000457	10.9880960288088	9.3246056485	9.24467	14.13542	8.97211	11.44965
ENSG00000000460	5.90316	0.856009	9.647000295501	4.4185	11.47065	3.530497
ENSG00000000938	2.15802	1.92015	1.698441	2.57364	0	0
ENSG00000000971	12.335715520237	11.860382292	4.56041540015086	17.332133	4.9837171387556	14.30166
ENSG00000001036	10.83847	10.99007	7.97014	8.98852	9.79843	5.42343
ENSG00000001084	42.31035	63.74053	60.58213	107.31723	103.97201	121.094310247188
ENSG00000001167	11.9765	11.5729	19.12465	20.1401	17.59766	20.53109
ENSG00000001460	9.146064	9.148281	9.43049	5.79868	7.683474	13.643217
ENSG00000001461	47.43287	46.9873	58.421351	58.88896	44.8132	61.251489
ENSG00000001497	15.840732	35.2413531804763	19.392619	22.11666539273	18.9223918277512	37.7571169731342
ENSG00000001561	50.2843	34.4747	43.9526	26.9069	24.3842	30.5428
ENSG00000001617	1.00266	0	4.12379	0.453327	0.511072	3.437598
ENSG00000001626	6.0380786355575	7.0046	6.39631	14.961825	26.7070268	36.531673
ENSG00000001629	348.59781	299.47332	254.445	337.38442	313.05932	292.33409
ENSG00000001630	149.9992	81.7468	96.2232	58.1241000605333	63.96359	60.9653
ENSG00000001631	52.749048247	37.49838002885	59.4593800085327	38.493417105735	43.87166	56.92734187
ENSG00000002016	27.2731506	17.607292182	10.259076	50.655748614276	53.9916600106513	74.29028
ENSG00000002330	13.92744	24.2078	14.5631	9.65802	7.72417	8.44843
ENSG00000002549	48.9576	51.37018	48.10166	50.51640235	50.93784	49.11935
ENSG00000002586	9.904776	9.75279	14.00656	23.62339	38.28294	12.818082
ENSG00000002587	3.057592188417	0.791749	2.54038	0	0.44974	0.578291
ENSG00000002726	0	0	0	0	0	0
ENSG00000002745	2.85654	3.395703	4.3179	0	0	0
ENSG00000002746	46.80344	64.347009	60.99349	13.346498	44.53381	16.59156406575
ENSG00000002822	30.0355	41.65244	40.822556	34.51697	22.177866	32.55802
ENSG00000002834	50.69640224682	81.78457	44.002119	50.8501	46.27243	27.342067
ENSG00000002919	13.965690201167	11.70832	11.77683	5.317495997	19.0643405	13.02442
ENSG00000002933	2.13934	2.44962	6.68668	8.40337	4.18075	2.6976
ENSG00000003056	131.57109	131.8964	93.4772	80.43788571	102.8984	114.22903
ENSG00000003096	11.62545	10.02736	7.35044	62.28072	61.78159	75.3595
ENSG00000003137	8.06014	6.661675	21.56453	0.664718	4.532553	2.08391
ENSG00000003147	95.39416	107.61954	159.86320134736	177.68653268412	150.850820124866	79.5150648533
ENSG00000003249	12.79239225	20.635899274	20.08972358	4.188584	3.69397	2.38785
ENSG00000003393	70.1739115402	67.304369331581	76.095988972584	61.844388931409	44.3534633	59.5203736466575
ENSG00000003400	3.37704	7.007687	2.56316	2.400514	5.374769	4.4720024
ENSG00000003402	38.57776	39.635377	25.408423	73.07401	70.675233	88.16957
ENSG00000003436	2.634752	2.000468	0.683565	3.345128	7.859805	16.359187
ENSG00000003509	46.54612	70.55471	31.91528521914	74.17789608599	44.15449	60.97606
ENSG00000003756	201.89263	257.85251	188.22879	333.6862	454.9754082	345.41505
